x 	 	 mojetteDim 	 	 mojetteDidier 	 	 isal
1 	 	 826 	 	 	 	 3826 	 	 	 	 768
2 	 	 1209 	 	 	 	 3829 	 	 	 	 3071
3 	 	 1613 	 	 	 	 3820 	 	 	 	 3898
4 	 	 1881 	 	 	 	 3842 	 	 	 	 4804
5 	 	 2187 	 	 	 	 3862 	 	 	 	 5463
