x 	 	 mojetteDim 	 	 mojetteDidier 	 	 isal
1 	 	 321 	 	 	 	 769 	 	 	 	 384
2 	 	 453 	 	 	 	 768 	 	 	 	 1536
3 	 	 577 	 	 	 	 769 	 	 	 	 1984
