#nbr_clients sequential_write sd sequential_read sd random_write sd random_read sd
3	832	537	932	453	32482	9111	31725	3778	
4	1569	577	1150	559	44385	7120	39720	5211	
5	1953	701	1502	721	51393	1157	47055	6367	
6	2324	793	1749	831	55892	1152	51736	6620	
7	2390	740	1814	898	60033	1616	58713	4562	
8	2475	791	2084	1012	57987	13283	59332	3781	
9	2612	747	2462	1036	58163	13730	60083	2383	
