#nbr_clients sequential_write sd sequential_read sd random_write sd random_read sd	
1	26	7	71	22	1101	233	1265	594	
2	54	10	147	61	2113	442	1335	476	
3	92	20	276	109	2281	407	1900	649	
4	120	43	286	65	2359	461	2413	672	
5	139	25	395	92	2435	485	3341	908	
6	176	20	566	131	2164	308	4197	1011	
7	215	32	489	91	2065	233	4760	1293	
8	244	30	704	166	2007	227	5987	1731	
9	261	34	775	87	2037	158	7056	1238
10	293	35	924	198	2001	212	8177	1421	
